分类,书名,作者,简介
小说,长安的荔枝,马伯庸,"大唐天宝十四年，长安城的小吏李善德突然接到一个任务：要在贵妃诞日之前，从岭南运来新鲜荔枝。荔枝“一日色变，两日香变，三日味变”，而岭南距长安五千余里，山水迢迢，这是个不可能完成的任务，可为了家人，李善德决心放手一搏：“就算失败，我也想知道，自己倒在距离终点多远的地方。”
《长安的荔枝》是马伯庸备受好评的历史小说。
唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”一千多年来引发了人们的无限遐想，但鲜荔枝的保鲜时限仅有三天，这场跨越五千余里的传奇转运之旅究竟是如何达成的，谁让杨贵妃在长安吃到了来自岭南的鲜荔枝？作者马伯庸就此展开了一场脑洞非常大的想象。
沿袭马伯庸写作一贯以来的时空紧张感，不仅让读者看到了小人物的乱世生存之道，也感受到了事在人为的热血奋斗。随书附赠“荔枝鲜转运舆图”。
★ 编辑推荐
唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”...
(展开全部)
唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”惹得世人艳羡杨贵妃上千年，但其中的荔枝是如何从五千余里外的岭南运送到长安城的，却鲜有史书详细记载，脑洞大开的马伯庸以此为蓝本构建了一个大唐社畜李善德拼尽全力做项目的故事，虽是历史小说，读者却能从中看到自己的生活影子，大城市买房落脚、职场情商博弈、不得已的违规逾矩等，小人物的挣扎是那么相似。一项将鲜荔枝运逾千里之距的艰难差事，以微观人事折射大唐宏观社会。
这部口碑非常好的历史小说只花了11天写就，小说刚一连载就获得了广大读者的好评，被数万人点评为神作，推荐值高达96%。微博、抖音、小红书和今日头条，海量读者自发评论和衍生二创。
本书小开本双封设计，随书附赠“荔枝鲜转运舆图”折页插图一张。
★ 媒体推荐
马伯庸把他对历史的熟稔与现实关怀结合在一起，使得文笔能直击人的内心。写的是古人，却经常让我们看到自己。这部《长安的荔枝》就是如此。
——陕西师范大学历史文化学院教授 于赓哲
马伯庸
作家。人民文学奖、朱自清散文奖、茅盾新人奖得主。
被评为沿袭“‘五四’以来历史文学创作的谱系”，致力于对“历史可能性小说”的探索。
代表作：《大医》《两京十五日》《显微镜下的大明》《长安十二时辰》《古董局中局》《三国机密》《风起陇西》等。"
小说,桃花源没事儿,马伯庸,"小道士玄穹是天生穷命，只要一捞横财，必有天雷劈下。他啥钱也不敢挣，只能去桃花源当个俗务道人。这项工作钱少活又多，担责加背锅，因为桃花源里住的都是妖怪，鸡毛蒜皮，纷争不断。玄穹每天忙着为妖怪们排忧解难、调停劝和，勉力维持着桃花源的和睦局面。有一天，一个巨大的危机突然降临。这个穷酸小道士悲伤地发现这关乎所有居民的安危，还严重影响到了自己每月二两三钱的菲薄俸禄……
编辑推荐
一个穷酸小道士，一处祥和桃花源。
“南阳刘子骥，高尚士也，闻之，欣然规往。未果，寻病终。后遂无问津者。”原来《桃花源记》中的“寻而未果”另有玄机，秘境桃花源竟是妖怪乐土，由道门和妖怪共同守护。
小道士玄穹天生穷命，只要一有横财，必定天雷劈下。他啥钱也不敢挣，只能去桃花源当个俗务道人。每日面对的都是调解邻里争执、孩子打架、夫妻口角之类的琐碎活，一地鸡毛，劳心费力。而每个月的道禄只有二两三...
(展开全部)
小道士玄穹天生穷命，只要一有横财，必定天雷劈下。他啥钱也不敢挣，只能去桃花源当个俗务道人。每日面对的都是调解邻里争执、孩子打架、夫妻口角之类的琐碎活，一地鸡毛，劳心费力。而每个月的道禄只有二两三钱，勉强糊口。
这是马伯庸写作超过12年的作品，保留了他这些年来心境变化的痕迹，它可能斑驳，但留住了他的人生年轮。也许你已经步入中年，疲惫的身体挑着家庭的责任，但希望你别忘了当初那个沉迷游戏的热血少年。但愿大家都能在这个故事中看到自己的年轮。
本书小开本双封设计，封面用新锐插画师综合鱼子定制像素风插画设计而成，携带方便，阅读送礼都适宜。
马伯庸
作家。人民文学奖、朱自清散文奖、茅盾新人奖、骏马奖得主。
其作品被评为沿袭“‘五四’以来历史文学创作的谱系”，致力于对“历史可能性小说”的探索。
代表作：《食南之徒》《太白金星有点烦》《长安的荔枝》《大医》《两京十五日》《显微镜下的大明》《长安十二时辰》《古董局中局》《三国机密》《风起陇西》等。"
小说,太白金星有点烦,马伯庸,"太白金星李长庚最近有点烦。
天庭和西天联合推出了“西天取经”的重大项目，他受命策划九九八十一难，确保唐僧能安全走完流程，平稳取经成佛。老神仙本以为一切尽在掌控中，谁知天大的麻烦才刚刚开始：费用报销、工作汇报、人事安排、各路大仙塞来的条子、各地妖怪暗藏的心思，捋不出的千头万缕，做不完的琐碎繁杂……当大闹天宫的真相重新浮出水面，牵扯出无数因果，李长庚发觉自己成就金仙的道路越加渺茫。
【编辑推荐】
这是每一个成年人应该重读的西游故事。
太白金星李长庚最近有点烦。天庭和西天联合推出了“西天取经”的重大项目，他受命策划九九八十一难，确保项目无虞。老神仙本以为一切尽在掌控中，谁知天大的麻烦才刚刚开始。
项目过程中，如何报销活动费用？如何写工作汇报？如何平衡不同上级的诉求？如何应对突发状况？如何解决人事纠纷？一系列问题在不改变经典著作《西游记》结局的基础上展开了丰...
(展开全部)
项目过程中，如何报销活动费用？如何写工作汇报？如何平衡不同上级的诉求？如何应对突发状况？如何解决人事纠纷？一系列问题在不改变经典著作《西游记》结局的基础上展开了丰富有趣的职场生态，即便李长庚锦囊无数，也不免常常陷入焦虑。
都说神仙要“超脱因果，太上忘情”，都说不要在职场里动感情，太白金星却说，“很多人间执念我们无法理解，但不代表那些痛苦就不存在。”即使得了“仙”“佛”之号，依旧抛不下一个人字，有人，就有抛不下的牵挂、因果与苦乐得失。
打碎无意义的追逐，才是真的得道。
延续《长安的荔枝》小开本双封设计，随书附10张著名画家施晓颉所绘创意插图。
【媒体推荐】
地下取经队伍降妖除魔百般威武，天上神界仙界各怀心思斗智斗勇。现代视角另类演绎西游故事，就算成仙也得讲究职场智慧。
——《收获》杂志
马伯庸
作家。人民文学奖、朱自清散文奖、茅盾新人奖得主。
作品被评为沿袭“‘五四’以来历史文学创作的谱系”，致力于对“历史可能性小说”的探索。
代表作：《长安的荔枝》《大医》《两京十五日》《显微镜下的大明》《长安十二时辰》《古董局中局》《三国机密》《风起陇西》等。"
小说,食南之徒,马伯庸,"【内容简介】
最贪吃的大汉使者唐蒙，
来到了最会吃的南越之国。
这里食材丰富，简直就是饕餮之徒的梦想之地。然而，在美食背后，却涌动着南北对峙、族群隔阂、权位争斗、国策兴废……种种波谲云诡，竟比岭南食材的风味更加复杂。
这个懒散的大汉使者，身陷岭南的政争漩涡。他唯 一能信赖的伙伴，只有食物；唯一的破局之法，只有追求极致美食的心。
谁都没想到，那一缕微妙滋味，竟关乎大汉与南越国运，乃至于整个中华版图……
【编辑推荐】
《食南之徒》是马伯庸2024年全新长篇历史小说。贪吃的汉使唐蒙来到饕餮圣地南越，没想到卷入南越宫廷的政争之中，南北对峙、族群隔阂、权位争斗、国策兴废……时局波谲云密，他能信赖的只有美食，能够破局的也只有那颗追求极致美食的心。更没人想到，唐蒙敏感的味觉竟然拓展了大汉对中华版图的认知……
美食不会骗人，每个人在它面前，都会露出本性。
1.马伯庸...
(展开全部)
1.马伯庸2024年全新长篇历史小说。
2.西汉“吃货”唐蒙出使南越，从“躺平”到“趟平”的故事。
3.一味不知原料的酱料，一枚原生北土的枣核，勾连出中华版图变迁的一段隐秘传奇，西南丝绸之路开拓史竟也由此展开。
4.知名画家施晓颉绘制封面，随书附赠五折六联全彩明信片插图。
马伯庸
作家。人民文学奖、朱自清散文奖、茅盾新人奖得主。
其作品被评为沿袭“‘五四’以来历史文学创作的谱系”，致力于对“历史可能性小说”的探索。
代表作：《太白金星有点烦》《长安的荔枝》《大医》《两京十五日》《显微镜下的大明》《长安十二时辰》《古董局中局》《三国机密》《风起陇西》等。"
小说,一句顶一万句,刘震云,"《一句顶一万句》是著名作家刘震云的扛鼎之作，也是刘震云迄今为止最成熟最大气的作品，并在2011年获第八届茅盾文学奖。
小说分上下两个部分，前半部“出延津记”写的是过去：卖豆腐老杨的二儿子杨百顺百事不顺，他一生改了三次名：为了寻个营生，被天主教神父老詹纳为教徒，改名杨摩西；给县长种地时因为一个尿壶得罪了县长，提心吊胆中有人说媒，便倒插门嫁给馒头铺的吴香香，改名吴摩西；吴香香给吴摩西扣了顶绿帽子，吴摩西带着吴香香和前夫的女儿巧玲假意去寻与人私奔的妻子，路上又把巧玲丢了，失望之中，要离开故乡，从此用喊丧的罗长礼的名字度过余生；后半部“回延津记”写的是现在：巧玲被卖到陕西，成了曹青娥，嫁给牛家，儿子牛爱国也是假意寻找与人私奔的妻子，又想到自己从前的相好，想起母亲的老家，于是走回延津……一出一走，延宕百年。
刘震云，汉族，河南延津人，北京大学中文系毕业，中国人民大学文学院教授。
曾创作长篇小说《故乡天下黄花》《故乡相处流传》《故乡面和花朵》（四卷）、《一腔废话》《我叫刘跃进》《一句顶一万句》《我不是潘金莲》《吃瓜时代的儿女们》等；中短篇小说《塔铺》《新兵连》《单位》《一地鸡毛》《温故一九四二》等。
其作品被翻译成英语、法语、德语、意大利语、西班牙语、瑞典语、捷克语、荷兰语、俄语、匈牙利语、塞尔维亚语、土耳其语、罗马尼亚语、波兰语、希伯来语、波斯语、阿拉伯语、日语、韩语、越南语、泰语、哈萨克语、维吾尔语等多种文字。
2011年，《一句顶一万句》获得茅盾文学奖。
2018年，获得法国文学与艺术骑士勋章。
根据其作品改编的电影，也在国际上多次获奖。"
小说,素食者,[韩] 韩江,"亚洲首位国际布克文学奖得主获奖作品
我在写作时，经常会思考这些问题：人类的暴力能达到什么程度；如何界定理智和疯狂；我们能在多大程度上理解别人。我希望《素食者》可以回答我的这些问题。我想通过《素食者》刻画一个誓死不愿加入人类群体的女性。
——韩江在国家布克文学奖颁奖礼上的 致辞
编辑推荐：
1亚洲唯一布克国际 文学奖获奖作品
连续击败两位诺贝尔文学奖得主帕慕克和大江健三郎代表作《我脑袋里的怪东西》、《水死》、“那不勒斯四部曲”终曲《失踪的孩子》等154本全球热门佳作赢得桂冠
同时，这也是布克国际历史上第一次颁奖给单本书（之前都是颁给作者终生成就）
2 享誉全球的现象级杰作，锐利如刀锋，把整个人类社会推上靶场。
荣膺韩国最高文学奖李箱文学奖、全球售出43个国家和地区版权，累计销量突破600万册。《时代周刊》、《华尔街日报》、《经济学人》、《出版人周刊》等...
(展开全部)
荣膺韩国最高文学奖李箱文学奖、全球售出43个国家和地区版权，累计销量突破600万册。《时代周刊》、《华尔街日报》、《经济学人》、《出版人周刊》等60家媒体年度图书。
3 韩国最具国际声誉作家代表作！诺贝尔文学奖热门候选
作为韩国文坛的中坚力量，韩江极有可能成为韩国当代作家斩获诺贝尔文学奖的重要人选。
——诺贝尔文学奖得主、法国文坛领军人勒克莱齐奥
像《素食者》这样精彩描写性与疯狂的杰作，理应获得巨大的成功。
——布克文学奖得主、当代英国文坛最具影响力的作家伊恩·麦克尤恩
4与《三体》并列选入十年十佳
2019年美国权威杂志《连线》将《素食者》选入10年来10本最佳类型小说之列，同时入选的还有诺贝尔文学奖得主石黑一雄的《被掩埋的巨人》和刘慈欣的《三体》。
5 女性写作巅峰之作
入选《纽约时报》21世纪15本重塑我们思想和写作的女性写作杰作书单
6 借阅人数超过《82年的金智英》
韩国国立中央图书馆于2017年1月至2021年4月针对全国845个图书馆的借阅数据进行了分析。
结果显示，《解忧杂货店》成为20-29岁人群最爱图书。
继《解忧杂货店》之后，《素食者 》超过话题图书 《82年生的金智英》夺得韩国原创文学借阅第一名，文学总借阅率第二名。
7韩国总统文在寅、BTS防弹少年团团长金南俊、red velvet金艺彬、GOT7朴珍荣、大势演员林秀晶真诚推荐
8改编电影入围圣丹斯电影节评审团大奖-世界电影单元-最佳剧情片
为了逃避来自丈夫、家庭、社会和人群的暴力，她决定变成一棵树
在英惠的丈夫郑先生的眼中，“病”前的英惠，是个再普通不过的女子：不高不矮的个头、不长不短的头发，相貌平平，着装一般，温顺、平淡、文静。正如他所希望的那样，英惠完美地扮演了平凡妻子的角色——料理家务，伺候丈夫，就像千千万万的传统妇女一样。
然而，一场噩梦之后，妻子却突然开始拒绝吃肉，拒绝为家人准备荤菜，甚至到最后，她开始拒绝自己的“人类”身份，把自己当成了一株植物，一株只需要阳光和水，谢绝任何食物和交流的植物。而随着她被动的反叛以越来越极端和可怕的形式表现出来，丑闻、虐待和疏远开始让她螺旋进入她的幻想空间。在精神和身体的完全蜕变中，她现在危险的努力将使英惠——不可能的、狂喜的、悲剧性的——远离她曾经为人所知的自我。
《素食者》以一种抒情却又撕裂的风格，将柔情和恐怖微妙地融为一体。揭示出强烈反抗对女主人公和她身边所有人的冲击。这本凝练、精美而又令人不安的书将长久萦绕于人心，甚至潜入读者的梦中。
——国际布克文学奖主席博伊德·唐金
这部小说里那种近乎于变态的诱惑，恰恰源自字里行间的画面诗意。它们暴力又情色，彷彿恶梦。读这本书的过程仿佛置身于充满了奇花异草的房间，浓浓的香味会扼住你的喉咙、让你睁大眼睛、震惊不已。
——荷兰《阿姆斯特丹人杂志》
翻开这本书那你就准备好被切成薄片，被涂上颜色，被拍打，被爱抚，被撕成碎片，被震惊，摇摇欲坠吧！
——美国小说家阿米莉亚·格雷
韩江 한강
1970年生，毕业于延世大学国文系，现任韩国艺术大学文艺创作系教授，当代韩国文坛最具国际影响力的作家之一。她曾先后荣获《首尔新闻报》年度春季文学奖，韩国小说文学奖，今日青年艺术家奖，东里文学奖、李箱文学奖、万海文学奖等。其作品从更为根源的层面上回望生活的 悲 苦和创伤，笔墨执著地袒护伤痕，充满探索的力量。
2016年5月16号,布克国际文学奖在伦敦揭晓。韩江凭借小说《素食者》击败诺贝尔文学奖得主奥尔罕·帕慕克新作《我脑袋里的怪东西》，诺贝尔文学奖得主大江健三郎晚年代表作《水死》，畅销书“那不勒斯四部曲”终曲《失踪的孩子》等154本名作最终成为该奖项历史上第一位亚洲作家。2017年，她获得了有“意大利诺贝尔文学奖”之称的马拉帕蒂文学奖。2018年，她凭借作品《白》再次入围布克国际文学奖短名单，并且创纪录的在同一年凭借《少年来了》入围国际都柏...
2016年5月16号,布克国际文学奖在伦敦揭晓。韩江凭借小说《素食者》击败诺贝尔文学奖得主奥尔罕·帕慕克新作《我脑袋里的怪东西》，诺贝尔文学奖得主大江健三郎晚年代表作《水死》，畅销书“那不勒斯四部曲”终曲《失踪的孩子》等154本名作最终成为该奖项历史上第一位亚洲作家。2017年，她获得了有“意大利诺贝尔文学奖”之称的马拉帕蒂文学奖。2018年，她凭借作品《白》再次入围布克国际文学奖短名单，并且创纪录的在同一年凭借《少年来了》入围国际都柏林文学奖短名单。2019年美国权威杂志《连线》将《素食者》选入10年来10本最佳类型小说之列，同时入选的还有诺贝尔文学奖得主石黑一雄的《被掩埋的巨人》和刘慈欣的《三体》。
韩国国立中央图书馆于2017年1月至2020年4月针对全国845个图书馆的借阅数据进行了分析。结果显示，韩江的《素食者》超过《82年的金智英》等话题图书，借阅率仅次于《解忧杂货铺》。"
小说,蛇结,[法]弗朗索瓦·莫里亚克,"★ 诺奖得主浸透人性毒液的惊世之作，法国文学殿堂级心理剖析范本
以手术刀般的笔锋剖解了爱情、婚姻、亲情中交织而成的致命心结，写尽人性暗河里的仇恨与救赎。1952年诺贝尔文学奖颁奖词称其“以精神洞察的深度和艺术强度，揭示了人类生活的戏剧”
★ 誉满全球的文学巨擘，加缪、 三岛由纪夫受其影响
入选法国伽利玛出版社“七星文库”文学珍本系列及巴黎高师哲学系必读书单；加缪评价“他让罪孽散发出摄人心魄的诗意”（伽利玛出版社《加缪全集》第四卷），三岛由纪夫在其启发下写出《爱的饥渴》
★ 触达婚姻与家庭背后的“蛇结”，每个困在亲密关系中的现代人都能照见自己
亲密关系中的种种不幸与痛苦，大多来自盘踞人性深处的“蛇结”：我们只相信自己愿意相信的东西，以此来加固对他人的偏见。当信任坍塌为猜忌，当交谈静默为沉寂，唯有斩断“蛇结”，才能从自我编织的桎梏中解放
★ 《窄门》译者...
(展开全部)
★ 《窄门》译者顾琪静法语直译，更好读、更考究的全新译本
以冷冽诗性语言还原原著密匝阴郁的文风，消弭翻译障碍，更符合现代中文习惯
★ 资深设计师broussaille私制操刀装帧，精装小开本收藏阅读无负担
127*184mm便携小开本，内文木浆胶版纸，护封绚烂，内封凛冽，一眼抵达莫里亚克笔下的精神世界
————————
律师路易出身低微，吝啬财富而又恶毒冷血，将自己的一生困在猜忌与报复的牢笼中。临老之际，他写下一封控诉妻儿的遗书，在信中他倾泻怨念，控诉妻子过往的情史，斥责她对自己的冷淡，憎恶子女觊觎他的遗产。他精心筹谋，百般算计，计划将财产交给私生子来报复家人。然而，一场意外病危让他的控诉和仇恨化为乌有，遗书遂变为自白和忏悔。死亡到来之际，他直面被怨恨豢养的扭曲灵魂，在爱与信仰中解开缠绕一生的“蛇结”。
弗朗索瓦·莫里亚克（François Mauriac，1885.10.11—1970.9.1）
1885年出生于法国波尔多
小说家、诗人、剧作家
1952年诺贝尔文学奖得主
1932年当选法国文学家协会主席
1933年当选法兰西学院院士
1958年获法国国家荣誉勋章
代表作品有《蛇结》《爱的荒漠》《给麻风病人的吻》《黑夜的终止》等"
小说,恶女的告白,[日] 叶真中显,"1 日本社会派推理大师叶真中显新作
日本推理作家协会奖、《这本推理小说了不起》大奖、《周刊文春》年度推理小说榜、日本推理文学大奖新人奖、渡边淳一文学奖、吉川英治文学新人奖、书店大奖、大薮春彦奖获得者新作。
2 时隔十年，《绝叫》后，再写“恶女”的复仇与重生
这部作品以“性别歧视”“性暴力”为主题。不客气地说，现在的日本社会是为男性而创造的， 即所谓的“男权社会”。我本身就是男权既得利益者，无法置身事外。我想通过这部作品，重新审视这样的社会。——叶真中显
3 本作、作中作、作中作中作层层反转
不杀了他们，我就会被他们杀死
知晓一切的你，愿意成为我的共犯吗？
“太郎涨大的生殖器上有无数烫痕。之前的饲主用的是火烧，那我就试着把它切了吧。”
七年前文学编辑梨帆收到了一篇叫做《养狗》的投稿，小说充斥着残暴的施虐倾向和对男性的嫌恶。作品被评为“重口味、贬低男性”...
(展开全部)
七年前文学编辑梨帆收到了一篇叫做《养狗》的投稿，小说充斥着残暴的施虐倾向和对男性的嫌恶。作品被评为“重口味、贬低男性”而没有出版，作者也从此销声匿迹。
七年后，梨帆收到了当年那位神秘作家的第二篇投稿，故事从两位学生时代的老友重逢开始，立场不同的两人在对话产生了分歧，杀意越来越强烈。
“干脆杀了这个女人吧。”
随着剧情的推移梨帆惊奇地在小说主人公身上看到了自己的影子，更可怕的是，这部小说好像还和七年前那篇暴戾的《养狗》有着千丝万缕的联系……
读者评论精选：
一种始终迷糊重重的感觉，一部虚构的小说，作为作中作，形成了故事的开端。它同时也孕育着一种悍强的力量，读者关心今后故事如何，忍不住往下读。小说包含了性别歧视、性别差异、厌恶男性等内容，完全不是看了开头能想象得到的故事展开。
感觉心神完全被吸引的一次读书体验。
在阅读了书店纷发的文章开头试读后，因为很在意而买了下来。作品中作中作的分量比我想象的要大，和主人公的人生奇妙地同步着，到了最后仿佛被覆盖了一样的存在感，一种梦幻般的、有点混乱的感觉。这种不可思议的感觉，希望其他读者也一定要体验一下。我想没有人的人生是没有后悔和迷茫的，也有过去的选择，让人想责怪是到底谁的错。希望有更多人意识到，即使现在不能完全挽回，自己也能把握住自己人生的缰绳。
过去我读过叶真中显先生写的3部小说，感觉和以前有些不一样，我很惊讶，但我由衷地觉得读了真好。根据读者的年龄和经验，也许会有难以理解的地方，但至少对于“正在度过下午的女性”来说，会有让人欲哭无泪的迫切感。我也是其中之一。对多惠和梨帆的某种共犯般的感情，连带着吞噬了我，将我救了出来。
Hamanaka Aki
叶真中显
1976年生于日本东京。2012年，凭借《死亡护理师》一书摘得第16届日本推理文学大奖新人奖。2014年出版的《绝叫》登上《周刊文春推理BEST 10 2014年版》《这本推理小说了不起！2015年版》等杂志榜单，并入围吉川英治文学新人奖与日本推理作家协会奖。
2022年3月，叶真中显在时隔多年后再度回归女性题材，以“性别歧视”“性暴力”为主题，创作出反应女性生存困境的《恶女的告白》，引起日本社会极大反响。
吴曦
日本图书、漫画翻译，活跃于推理小说翻译与游戏本地化行业。代表译作有村田沙耶香《人间便利店》、森见登美彦《太阳与少女》、连城三纪彦《鼠之夜》、松本清张《黑地之绘》，以及漫画《蓦然回首》等"
小说,绝叫,[日] 叶真中显,"罗翔老师推荐！“这本书深刻地揭示了日本的社会问题，日本40多年来社会变迁的各种缩影。”
豆瓣「2020年度读书榜单」推理·悬疑类top1！
怀才者的自怜是天鹅的挽歌， 平庸者的崩坏是野兽的绝叫。
-
★同名日剧位居豆瓣“2019评分最高日本剧集”榜单Top10
★日本现象级社会派推理小说
★长达四十年的恶女编年史
★绝对现实，却超乎想象！
【内容简介】
铃木阳子死了，死在独居的公寓里。正确说来，是铃木阳 子几个月前死了。因为发现她时，不但遗体遭到屋内的十一只猫啃食，连猫也全数饿死了。铃木阳子显然是「孤独死」的最佳范例，但这名女子为何落到这步田地？她的亲人、朋友、同事在哪里？她的人生轨迹又是如何？
【编辑推荐】
《绝叫》是日本新锐社会派推理作家叶真中显创作的推理小说，讲述了女主人公阳子在平庸懦弱的表象之下，隐密的跌宕、罪恶人生。该书揭露常被人们...
(展开全部)
《绝叫》是日本新锐社会派推理作家叶真中显创作的推理小说，讲述了女主人公阳子在平庸懦弱的表象之下，隐密的跌宕、罪恶人生。该书揭露常被人们忽视的社会问题，深刻而引人深思，刻画人物思想的变化细腻而一针见血，以阳子的离奇经历，连缀了日本四十年来社会变迁的各种缩影，是日本近年来具有代表性的优秀推理小说。
该书在日本一经出版就引起极大反响，入围第68回日本推理作家协会奖、第36回吉川英治文学新人奖、第27回“这本推理小说了不起”大奖 、第12回书店大奖、第11回启文堂大奖、周刊文春年度推理小说榜。
后《绝叫》繁体版问世，使国内推理小说爱好者得以一探究竟。《绝叫》繁体版在豆瓣获得8.6的高评分，是少有的在有简体中文版之前就广受好评的外国小说。
2019年，根据《绝叫》改编的同名日剧播出，又获得了豆瓣逾万人点评、8.4分的好成绩，并入围豆瓣“2019评分最高日本剧集”榜单Top10。
2020年7月，《绝叫》简体中文版正式上市，以飨读者。
叶真中显，2019年日本推理作家协会奖、首届角川学艺儿童文学优秀奖、第16届日本推理文学大奖新人奖、第21届大薮春彦赏获得者，凭借《绝叫》一举获得多项奖项。
叶真中显作为新锐社会派推理作家，尤其擅长构架庞杂而不凌乱、宏大而不冗余的故事，他的笔触绝少煽情，只是淡而自然地给出赤裸的残酷。而细细读完全书，又会察觉作者那克制的悲悯。"
小说,泥潭,刘楚昕,"小说从辛亥革命拉开帷幕，以武昌起义为舞台，一个梦境叠着另一个梦境，意识流般的画外音，双线人物互为镜像，令人性的善恶互为纠缠。多头并进的叙事中，主角看似有名有姓，实则被乱世匿名的“无名氏”们轮番取代，有人完成了精神救赎，有人撕开了命运缺口，更多人颠沛流离于生死两难的陌路。黏稠如泥潭的历史，裹挟着蝼蚁众生，表现出对历史的反思、对人心的剖析，以及独特的艺术感召力。作品在写作策略上别出机杼，书中套着另一本书——未完成的同名作——将文本以自我否定和自我增殖的方式搭建了复调结构，是一部完成度很高的稗官野史。
刘楚昕（1991-），湖北社科院哲学所助理研究员，武汉大学哲学博士。"
